Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,3.3026266364387764,81.04675021,50.239695,29.2491,94.29675021,28.9676,94.79675021,29.10835,29.151304363999998,,-4.7236575
2,5.78419556162371,286.5582684,51.490995,30.3127,299.7582684,30.0938,300.2582684,30.20325,30.140544739,,-4.5359625
3,5.77377994007179,491.8987497,50.5212375,29.7809,505.1487497,29.5307,505.6487497,29.6558,29.426215004,,-4.066725
4,5.77690626527692,697.1972479,50.67765,29.9061,710.4472479,29.7809,710.9472479,29.8435,29.688856672999997,,-4.37955
5,6.020385849932989,902.687633,50.865345,29.7497,915.887633,29.7497,916.387633,29.7497,29.615045246666668,,-3.8477475
0,5.476004184143585,1108.026881,51.05304,29.7497,1121.226881,29.4681,1121.726881,29.6089,29.617275467272727,,-5.4744375
,,,,,,,,,,
for macro #:,2.0
1,5.2655555939949,2310.756877,52.5858825,29.7184,2324.006877,29.4994,2324.506877,29.6089,29.43175062666667,,-5.568285
2,5.324670588785715,2516.178633,49.989435,28.0917,2529.428633,27.5912,2529.928633,27.841450000000002,28.028056608999997,,-5.3493075
3,4.957424707128203,2721.725878,49.05096,27.3096,2734.925878,27.3409,2735.425878,27.32525,27.45546859222222,,-5.38059
4,5.089458963010254,2927.157248,49.5201975,27.2783,2940.357248,26.9029,2940.857248,27.090600000000002,27.087051078888887,,-5.568285
5,4.997845216148718,3132.490128,47.5181175,26.027,3145.740128,25.9332,3146.240128,25.9801,25.909448990999998,,-3.7851825
0,4.892552521441023,3337.871628,46.67349,26.1209,3351.121628,26.0583,3351.621628,26.089599999999997,26.055050290999997,,-4.316985
,,,,,,,,,,
for macro #:,3.0
1,4.8306276301128195,3733.43275,45.7662975,25.5891,3746.68275,25.3388,3747.18275,25.463949999999997,25.295575339999996,,-3.37851
2,4.724097415205127,3938.837131,46.0165575,25.6829,3952.087131,25.3701,3952.587131,25.5265,25.537550072000002,,-4.191855
3,4.696031074410257,4144.123749,45.17193,25.026,4157.373749,24.9322,4157.873749,24.979100000000003,24.950432643636365,,-3.816465
4,4.571142106484535,4349.611119,45.3909075,24.9947,4362.811119,24.6506,4363.311119,24.822650000000003,24.878101790909092,,-4.2231375
5,4.503588632617346,4554.940374,44.67141,24.4629,4568.190374,24.3065,4568.690374,24.384700000000002,24.438535325555556,,-4.7236575
0,4.584070839005129,4760.298001,44.2021725,23.8998,4773.548001,23.9624,4774.048001,23.9311,24.008187147272732,,-3.3472275
,,,,,,,,,,
for macro #:,4.0
1,4.498550888871795,5028.623872,44.0144775,24.0562,5041.873872,23.9624,5042.373872,24.0093,23.905529360000003,,-4.1605725
2,4.555749425958974,5234.104374,42.66933,23.1178,5247.354374,23.2116,5247.854374,23.1647,23.12949005363636,,-4.7236575
3,4.478254158902564,5439.520008,42.8883075,23.4306,5452.770008,23.2742,5453.270008,23.3524,23.27439630454545,,-4.00416
4,4.448816840892308,5645.036372,42.5129175,23.368,5658.236372,22.7737,5658.736372,23.07085,23.11917187666667,,-5.0052
5,4.255212360963919,5850.498619,43.5139575,23.1178,5863.698619,22.9614,5864.198619,23.0396,23.22825047777778,,-4.817505
0,4.197472273092783,6056.029138,42.5129175,23.1178,6069.229138,22.8675,6069.729138,22.992649999999998,23.100471882222216,,-4.25442
,,,,,,,,,,
for macro #:,5.0
1,4.300191897989744,6294.474121,41.4493125,22.2419,6307.674121,22.2731,6308.174121,22.2575,22.344644862222225,,-4.5985275
2,4.1748183542461526,6499.85563,40.1980125,21.6475,6513.10563,21.4598,6513.60563,21.55365,21.627599925454547,,-3.9103125
3,4.172889426569233,6705.215997,40.41699,21.8039,6718.465997,21.5536,6718.965997,21.67875,21.584265145454545,,-3.5349225
4,4.105754928271796,6910.622498,39.1344075,21.3034,6923.822498,20.7403,6924.322498,21.02185,20.98884028222222,,-5.2241775
5,4.024587914241026,7116.343623,38.602605,21.3659,7129.543623,21.1783,7130.043623,21.272100000000002,21.218148,,-3.7539
0,3.9015909068410264,7321.894996,38.0082375,20.7716,7335.094996,20.3649,7335.594996,20.56825,20.528306214444445,,-3.5974875
