Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,4.206324451323075,101.6081952,40.57092,23.6312,114.8581952,23.5255,115.3581952,23.57835,23.584939338,,-4.824840312
2,6.181197810871794,307.0040953,40.78222688,23.6664,320.2040953,23.3846,320.7040953,23.5255,23.470770353,,-4.543097813
3,5.739101970194869,512.397793,40.60613781,23.5255,525.597793,23.3494,526.097793,23.43745,23.42896678,,-4.683969063
4,5.60738629268718,717.5395736,41.06396937,23.5607,730.7895736,23.5607,731.2895736,23.5607,23.525850950909092,,-4.7896225
5,7.094070635107691,923.5833234,45.81837406,26.9064,936.8333234,26.6599,937.3333234,26.78315,26.756958583999996,,-2.852642813
