Ramp ..,Resting.discharge,DP,IST,FST,DI,50hz frequency,100hz frequency
,,,,,,,
for macro #:,1,,,,,,
1,5.201725,47.73269653,30.41586908,20.99094304,11.28522958,6.821806425,6.821806425
2,0.954746053,49.75124359,31.32988167,20.88377935,17.52045434,4.261853616,4.261853616
3,1.863828813,48.66180038,30.83609281,20.66894999,16.41567143,2.170683583,2.170683583
4,1.760637333,47.8468895,30.65568352,20.88852196,15.70701901,0.911689258,0.911689258
5,3.960092738,48.19277191,30.01283677,20.96453424,16.66334428,1.783155906,1.783155906
0,0.110226236,48.19277191,29.50661741,20.08625259,12.02605144,0.502512245,0.502512245
,,,,,,,
for macro #:,2,,,,,,
1,0.742041454,51.02040863,32.20408085,21.90137586,12.82880194,1.004971631,1.004971631
2,0.477754702,51.28205109,32.83882359,21.70492967,17.32767568,0.447519824,0.447519824
3,0.12791568,51.15089417,32.12124761,22.29393456,13.93895188,1.510405196,1.510405196
4,0.351228416,53.33333206,32.11425999,21.77582845,19.71895023,1.144204404,1.144204404
5,0.351172924,50.63291168,31.42656762,21.21144451,18.19338696,8.898386904,8.898386904
0,0,50.63291168,31.08570061,21.04518249,18.38472859,0.290455123,0.290455123
,,,,,,,
for macro #:,3,,,,,,
1,0,51.15089417,30.87566757,20.59250317,19.08012345,0.128659923,0.128659923
2,3.504344314,53.90835571,31.14896552,21.31236868,19.80862692,1.349225768,1.349225768
3,0,52.2193222,35.67383528,24.37119818,15.19620531,5.57329745,5.57329745
4,2.752623921,60.97560883,36.09290205,24.56167412,27.74148704,8.891567273,8.891567273
5,0.585682207,60.06005859,37.14549208,25.39329059,18.14456008,8.554323279,8.554323279
0,0.135939747,59.17159653,37.16409492,25.6802735,17.56982303,7.514151415,7.514151415
,,,,,,,
for macro #:,4,,,,,,
1,1.138888448,60.24096298,38.62734032,26.31753657,19.54049241,8.795024656,8.795024656
2,0,62.30529785,38.84720421,26.68476501,18.10209173,9.136272579,9.136272579
3,0,60.24096298,38.20042562,26.23903612,15.29769412,9.441011631,9.441011631
4,7.656458984,63.8977623,39.89792252,27.32637405,22.51471543,9.660180981,9.660180981
5,2.250548162,62.89308167,40.89464527,28.37206802,20.48466132,9.012455112,9.012455112
0,0.546962788,68.96551514,42.46221585,28.9213328,20.94606369,12.21511345,12.21511345
,,,,,,,
for macro #:,5,,,,,,
1,5.042326781,66.66666412,43.11959924,25.87807861,20.95473344,8.55868779,8.55868779
2,1.318842813,64.10256195,36.08719935,25.91387953,28.37365016,8.566051016,8.566051016
3,1.904081598,61.53845978,39.04435015,26.27829317,21.26266198,7.225406259,7.225406259
4,1.515778249,62.89308167,40.93278313,27.06732354,15.83221139,3.600513332,3.600513332
5,0,65.78947449,40.99661234,27.22066087,35.5057207,7.556054643,7.556054643
0,4.87575266,72.46376801,44.48714752,32.22052312,29.07638877,9.10745489,9.10745489
