Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,5.8014266135538435,18.1717514,32.721495,19.3952,31.4217514,19.27,31.9217514,19.3326,19.32241558818182,,1.75182
2,5.8798921216307685,223.4775917,31.845585,19.1449,236.7275917,19.0823,237.2275917,19.113599999999998,19.090189619999997,,1.8456675
3,6.618839769566329,428.7807456,35.974875,21.6788,442.0307456,21.3972,442.5307456,21.538,21.519000177,,2.189775
4,6.414440647830768,634.1492473,35.0676825,21.147,647.3992473,21.0531,647.8992473,21.10005,21.091474720999997,,2.0959275
5,6.266787411214288,839.3839969,35.0051175,20.928,852.6339969,20.8029,853.1339969,20.865450000000003,20.826455599999996,,1.939515
0,6.174570909435896,1044.592851,34.53588,20.6152,1057.842851,20.4588,1058.342851,20.537,20.541221747,,1.7205375
,,,,,,,,,,
for macro #:,2.0
1,6.123890421953842,1323.297856,34.6922925,20.4275,1336.547856,20.3023,1337.047856,20.3649,20.319610205,,1.4702775
2,6.082739401246154,1528.677718,34.973835,20.2398,1541.927718,19.9895,1542.427718,20.114649999999997,20.174046464999996,,1.00104
3,6.0604264917948765,1734.065641,35.28666,20.2398,1747.315641,20.0521,1747.815641,20.14595,20.131377100999998,,0.563085
4,6.0266924046051225,1939.317368,35.599485,19.9895,1952.567368,19.8018,1953.067368,19.89565,19.911561285,,0.187695
5,6.015372620365981,2144.718253,35.1302475,19.8957,2157.918253,19.8331,2158.418253,19.864400000000003,19.795735068,,0.062565
0,5.973319645323076,2350.025969,35.098965,20.0834,2363.275969,19.8957,2363.775969,19.98955,19.94409503181818,,-0.2815425
,,,,,,,,,,
for macro #:,3.0
1,5.977660695748716,2593.476262,34.598445,19.6454,2606.676262,19.4577,2607.176262,19.55155,19.533981990000004,,0.312825
2,5.946349635497434,2798.736125,34.5671625,19.4577,2811.936125,19.3952,2812.436125,19.42645,19.415052136,,-0.12513
3,5.891225154903058,3003.946965,35.7558975,19.708,3017.196965,19.6454,3017.696965,19.676699999999997,19.64643007,,-0.437955
4,5.870402774758974,3209.317769,35.6307675,19.3639,3222.567769,19.3326,3223.067769,19.34825,19.279060892,,-2.064645
5,5.843508479102565,3414.677847,35.8184625,19.27,3427.927847,19.1449,3428.427847,19.20745,19.215582437,,-2.690295
0,5.831276379336735,3619.841375,35.8810275,18.9885,3633.091375,18.9259,3633.591375,18.9572,18.998475569000004,,-1.3451475
,,,,,,,,,,
for macro #:,4.0
1,5.788459616933335,3889.002114,36.66309,19.051,3902.202114,18.8633,3902.702114,18.95715,19.018727862,,-2.00208
2,5.756538947876923,4094.138993,35.91231,18.8946,4107.338992999999,18.7069,4107.838992999999,18.80075,18.797379131,,-2.25234
3,5.723603121902564,4299.370766,37.3200225,18.8633,4312.570766,18.8008,4313.070766,18.83205,18.870786641,,-3.37851
4,5.718268168025773,4504.59264,36.91335,18.8633,4517.79264,18.6757,4518.29264,18.7695,18.777007953000002,,-3.25338
5,5.712826541651283,4709.794382,37.3200225,18.8008,4723.044382,18.6131,4723.544382,18.70695,18.631305419090907,,-4.00416
0,5.743627132979488,4915.055242,38.102085,18.5192,4928.255242,18.3941,4928.755242,18.456650000000003,18.519715638999998,,-6.13137
,,,,,,,,,,
for macro #:,5.0
1,5.672298695783503,5139.060864,39.29082,18.4567,5152.260864,18.269,5152.760864,18.36285,18.36396626,,-5.2241775
2,6.687036730184619,5344.515498,44.17089,22.4608,5357.765498,22.2106,5358.265498,22.3357,22.299066954,,-3.816465
3,6.522547859979489,5549.932352,43.7642175,22.0854,5563.182352,21.8352,5563.682352,21.9603,21.971063612000002,,-3.9103125
4,6.446372152809278,5755.471265,42.982155,21.929,5768.671265,21.7726,5769.171265,21.8508,21.814313274999996,,-3.941595
5,6.398871587784611,5960.678976,43.7642175,21.6162,5973.928976,21.4911,5974.428976,21.553649999999998,21.588447322,,-4.692375
0,6.35560227061026,6166.225109,44.67141,21.5536,6179.425109,21.4285,6179.925109,21.49105,21.475836579,,-6.2252175
