Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,6.038349389717947,49.68086786,29.4368325,19.6454,62.88086786,19.5516,63.38086786,19.5985,19.60655739,,2.189775
2,6.229466429612242,254.8556291,28.216815,19.051,268.1056291,18.9259,268.6056291,18.98845,18.946333902,,2.2836225
3,6.128272532456411,460.1124846,28.02912,18.8321,473.3624846,18.6757,473.8624846,18.7539,18.692988824545452,,2.2210575
4,6.069786632387756,665.5302526,27.2470575,18.3628,678.7802526,18.4567,679.2802526,18.409750000000003,18.407705486,,2.12721
5,5.998333773302568,870.8149911,26.840385,18.3315,884.0649911,18.1439,884.5649911,18.237699999999997,18.188731909090908,,2.12721
0,5.969417837984615,1076.188872,26.715255,18.0813,1089.388872,18.1126,1089.888872,18.09695,18.06662400222222,,2.0959275
,,,,,,,,,,
for macro #:,2.0
1,5.946140444651281,1304.881117,26.52756,17.9562,1318.081117,17.8936,1318.581117,17.9249,17.934285095555556,,1.939515
2,5.922400709025639,1508.449111,26.2773,17.831,1521.699111,17.7685,1522.199111,17.79975,17.796608030999998,,1.9082325
3,5.887987044695877,1712.137007,26.214735,17.7997,1725.337007,17.7997,1725.837007,17.7997,17.708967633333334,,2.0333625
4,5.8489206721173455,1915.896858,25.839345,17.5495,1929.146858,17.4869,1929.646858,17.5182,17.494539003636362,,1.8456675
5,5.8303567376020435,2119.44586,25.714215,17.612,2132.69586,17.4244,2133.19586,17.5182,17.455123090909094,,2.064645
0,5.78122260974872,2323.664661,25.52652,17.3305,2336.864661,17.2992,2337.364661,17.31485,17.30365071777778,,1.9707975
,,,,,,,,,,
for macro #:,3.0
1,5.77637654928718,2608.576353,25.77678,17.2054,2621.826353,17.0802,2622.326353,17.1428,17.17520156181818,,1.939515
2,5.7645260938153875,2812.281365,25.338825,17.1115,2825.531365,17.0177,2826.031365,17.0646,17.08088199090909,,1.939515
3,5.754922811877554,3016.096209,25.213695,17.0177,3029.346209,16.9864,3029.846209,17.00205,17.012862450909093,,1.87695
4,5.72910852022564,3219.837136,25.1824125,17.0177,3233.037136,16.9238,3233.537136,16.970750000000002,16.96136449222222,,1.7205375
5,5.720869775170103,3423.921991,25.088565,16.9551,3437.121991,16.8613,3437.621991,16.9082,16.89148626272727,,1.8456675
0,5.691075614737114,3627.360989,24.9321525,16.7674,3640.560989,16.7361,3641.060989,16.75175,16.790602993636366,,1.7831025
,,,,,,,,,,
for macro #:,4.0
1,5.663818269586734,3891.601992,24.9321525,16.7674,3904.851992,16.7361,3905.351992,16.75175,16.72810625636363,,1.7831025
2,5.63487643582474,4095.228055,24.90087,16.7674,4108.428055,16.7674,4108.928055,16.7674,16.70877141,,1.87695
3,5.64795293195408,4298.709866,24.7444575,16.7049,4311.959866,16.611,4312.459866,16.65795,16.64202250909091,,1.814385
4,5.624162271887758,4502.151741,24.6818925,16.6423,4515.401741,16.5172,4515.901741,16.579749999999997,16.611706941818184,,1.814385
5,5.59404775980612,4705.863616,24.65061,16.5797,4719.113616,16.4859,4719.613616,16.5328,16.546593844545455,,1.814385
0,5.591286919857142,4909.496608,24.4941975,16.5797,4922.746608,16.5484,4923.246608,16.56405,16.487657575454545,,1.814385
,,,,,,,,,,
for macro #:,5.0
1,5.599358546005159,5135.50411,24.5567625,16.4859,5148.70411,16.4233,5149.20411,16.4546,16.458741139999997,,1.689255
2,6.849967883574364,5338.968986,32.03328,21.2095,5352.218986,21.0844,5352.718986,21.146949999999997,21.121770064444448,,2.5338825
3,6.655462819742272,5542.718856,31.094805,20.8967,5555.918856,20.7403,5556.418856,20.8185,20.83254090818182,,2.3461875
4,6.590222028164106,5746.427735,31.219935,20.6152,5759.677735,20.5213,5760.177735,20.56825,20.541791105999998,,2.4087525
5,6.532619968432988,5949.977738,30.3753075,20.3336,5963.177738,20.3023,5963.677738,20.31795,20.344023079000003,,2.314905
0,6.485610746819588,6154.975485,30.15633,20.1146,6168.175485,20.1772,6168.675485,20.145899999999997,20.110442834,,2.189775
,,,,,,,,,,
for macro #:,6.0
1,7.631759952634021,6985.207254,37.41387,22.6172,6998.407254,22.4608,6998.907254,22.539,22.529112289,,2.5338825
2,6.498038739717953,7190.635994,34.8799875,22.2106,7203.885994,21.929,7204.385994,22.0698,22.02885143777778,,2.5026
3,6.302338070836739,7395.907865,34.1917725,21.8039,7409.157865,21.7413,7409.657865,21.772599999999997,21.702450452727273,,2.2210575
4,6.187093533600002,7601.226616,33.6286875,21.4598,7614.426616,21.3347,7614.926616,21.39725,21.398944188,,2.2210575
5,6.126804984266665,7806.585491,33.1281675,21.2408,7819.785491,21.1783,7820.285491,21.20955,21.206893197777774,,2.25234
0,6.0809356404234745,8011.889234,33.222015,21.3347,8025.139234,21.2095,8025.639234,21.272100000000002,21.25888158818182,,2.12721
,,,,,,,,,,
for macro #:,7.0
1,6.067452177149489,8231.895116,32.721495,21.0531,8245.095116,20.8654,8245.595116,20.95925,20.904768244999996,,2.189775
2,6.0529219001743595,8437.11599,32.6276475,20.8341,8450.36599,20.7403,8450.86599,20.7872,20.82704716888889,,2.00208
3,6.011817654758973,8642.430738,32.3773875,20.8967,8655.680738,20.6777,8656.180738,20.7872,20.742130505,,2.00208
4,5.962637394625639,8847.713639,32.2522575,20.7716,8860.963639,20.5839,8861.463639,20.67775,20.665876272999995,,2.064645
5,5.933104460923075,9053.217353,31.9394325,20.49,9066.417353,20.3336,9066.917353,20.4118,20.448900777,,2.0959275
0,5.923797353989744,9258.710109,31.720455,20.4275,9271.910109,20.2711,9272.410109,20.3493,20.362692469000002,,2.1584925
